appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags,Name,October 2021,September 2021,August 2021,July 2021,June 2021,May 2021
1091500,Cyberpunk 2077,CD PROJEKT RED,CD PROJEKT RED,nan,355882,113232,0,"10,000,000 .. 20,000,000",3198,131,2652,69,2999.0,5999.0,50.0,21748,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Thai, Traditional Chinese, Turkish",RPG,"{'Cyberpunk': 4985, 'Open World': 4192, 'RPG': 3740, 'Sci-fi': 3633, 'Futuristic': 3624, 'Singleplayer': 3578, 'FPS': 3464, 'Nudity': 3383, 'First-Person': 3298, 'Atmospheric': 3229, 'Exploration': 3137, 'Story Rich': 3131, 'Mature': 2980, 'Action': 2276, 'Violent': 1992, 'Great Soundtrack': 1776, 'Action RPG': 1735, 'Adventure': 1649, 'Character Customization': 677, 'Immersive Sim': 631}",Cyberpunk 2077,10565,13018.0,13354.0,12374.0,11349.0,13042.0
381210,Dead by Daylight,Behaviour Interactive Inc.,Behaviour Interactive Inc.,nan,453936,99938,0,"10,000,000 .. 20,000,000",8839,606,1447,214,999.0,1999.0,50.0,55478,"English, French, Italian, German, Spanish - Spain, Russian, Simplified Chinese, Portuguese - Brazil, Thai, Traditional Chinese, Japanese, Korean, Polish, Dutch, Spanish - Latin America, Swedish, Turkish",Action,"{'Horror': 39624, 'Survival Horror': 8982, 'Multiplayer': 8790, 'Online Co-Op': 6731, 'Survival': 6544, 'Co-op': 6505, 'Gore': 6469, 'Stealth': 6452, 'Team-Based': 6447, 'Blood': 6439, 'Third Person': 6429, 'Violent': 6410, 'First-Person': 6402, 'Action': 6367, 'Psychological Horror': 6366, 'Atmospheric': 6349, 'Strategy': 2005, 'Comedy': 1867, 'Mature': 1694, 'Difficult': 1415}",Dead by Daylight,67979,68197.0,64799.0,78500.0,65738.0,54371.0
252950,Rocket League,Psyonix LLC,Psyonix LLC,nan,482217,59978,0,"10,000,000 .. 20,000,000",14151,497,2853,261,0.0,0.0,0.0,47303,"English, French, Italian, German, Spanish - Spain, Dutch, Portuguese, Japanese, Korean, Russian, Turkish, Polish","Action, Indie, Racing, Sports","{'Multiplayer': 6522, 'Soccer': 5086, 'Competitive': 4510, 'Sports': 3958, 'Racing': 3860, 'Team-Based': 3365, 'Online Co-Op': 2825, 'Football': 2301, 'Fast-Paced': 2171, 'Co-op': 2117, 'Action': 1914, 'Funny': 1875, 'Great Soundtrack': 1647, 'Local Multiplayer': 1597, 'Split Screen': 1464, 'Local Co-Op': 1331, 'Singleplayer': 1218, '4 Player Local': 1194, 'Casual': 1184, 'Indie': 875}",Rocket League,55245,56901.0,60996.0,60168.0,66902.0,77741.0
227300,Euro Truck Simulator 2,SCS Software,SCS Software,nan,481877,11621,0,"10,000,000 .. 20,000,000",5795,227,1666,102,499.0,1999.0,75.0,32544,"English, German, French, Italian, Korean, Spanish - Spain, Simplified Chinese, Russian, Japanese, Portuguese, Polish, Danish, Dutch, Finnish, Norwegian, Swedish, Hungarian, Czech, Romanian, Turkish, Portuguese - Brazil, Bulgarian, Greek, Ukrainian","Indie, Simulation","{'Transportation': 11773, 'Driving': 11748, 'Automobile Sim': 11728, 'Open World': 11722, 'Simulation': 11720, 'Realistic': 11707, 'Immersive Sim': 11693, 'Moddable': 11679, 'Relaxing': 11675, 'Exploration': 11660, 'Economy': 11656, 'Management': 11646, 'Atmospheric': 11645, 'Multiplayer': 3673, 'Third Person': 3653, 'Family Friendly': 3650, 'Controller': 3642, 'Casual': 3586, 'Adventure': 3581, 'Indie': 3581}",Euro Truck Simulator 2,36466,35946.0,32579.0,34559.0,33848.0,37682.0
386360,SMITE,Titan Forge Games,Hi-Rez Studios,nan,74856,18102,0,"10,000,000 .. 20,000,000",5138,610,196,542,0.0,0.0,0.0,17615,"English, French, German, Spanish - Spain, Polish, Russian, Portuguese - Brazil, Turkish, Simplified Chinese, Japanese","Action, Free to Play","{'Free to Play': 2350, 'MOBA': 1334, 'Multiplayer': 1045, 'Action': 874, 'Third Person': 851, 'Mythology': 774, 'Team-Based': 598, 'Competitive': 559, 'PvP': 518, 'Strategy': 511, 'Co-op': 497, 'Massively Multiplayer': 368, 'e-sports': 330, 'RPG': 295, 'Adventure': 252, 'MMORPG': 236, 'Funny': 205, 'Casual': 184, 'Nudity': 182, 'Survival': 180}",SMITE,17639,19488.0,20114.0,19047.0,19398.0,20586.0
413150,Stardew Valley,ConcernedApe,ConcernedApe,nan,406524,8211,0,"10,000,000 .. 20,000,000",3160,310,1320,115,899.0,1499.0,40.0,29088,"English, German, Spanish - Spain, Japanese, Portuguese - Brazil, Russian, Simplified Chinese, French, Italian, Hungarian, Korean, Turkish","Indie, RPG, Simulation","{'Farming Sim': 5142, 'Life Sim': 5041, 'Pixel Graphics': 4814, 'RPG': 4804, 'Multiplayer': 4310, 'Agriculture': 4155, 'Relaxing': 4104, 'Simulation': 4098, 'Crafting': 3333, 'Sandbox': 3041, 'Indie': 2724, 'Building': 2619, 'Singleplayer': 2384, 'Casual': 2263, 'Open World': 2126, '2D': 1969, 'Great Soundtrack': 1898, 'Cute': 1826, 'Dating Sim': 1635, 'Fishing': 1562}",Stardew Valley,27547,29733.0,38528.0,35622.0,27250.0,28296.0
739630,Phasmophobia,Kinetic Games,Kinetic Games,nan,351252,10286,0,"10,000,000 .. 20,000,000",1417,178,765,106,1259.0,1399.0,10.0,16714,"English, Portuguese, Spanish - Spain, Portuguese - Brazil, German, French, Italian, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Romanian, Russian, Simplified Chinese, Swedish, Traditional Chinese, Turkish, Ukrainian","Action, Indie, Early Access","{'Horror': 1858, 'Online Co-Op': 1203, 'Multiplayer': 1078, 'Psychological Horror': 898, 'Co-op': 825, 'VR': 692, 'Supernatural': 689, 'First-Person': 643, 'Investigation': 576, 'Dark': 474, 'Mystery': 427, 'Demons': 407, 'Detective': 407, 'Early Access': 348, 'Thriller': 292, '3D': 284, 'Indie': 279, 'Action': 244, 'Tactical': 219, 'Lovecraftian': 110}",Phasmophobia,30426,29849.0,24155.0,16095.0,17099.0,16632.0
346110,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,nan,387162,91124,0,"10,000,000 .. 20,000,000",10073,693,1378,386,989.0,2999.0,67.0,49112,"English, French, Italian, German, Spanish - Spain, Russian, Portuguese - Brazil, Simplified Chinese, Czech, Danish, Dutch, Hungarian, Polish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Finnish, Japanese, Korean","Action, Adventure, Indie, Massively Multiplayer, RPG","{'Open World Survival Craft': 11836, 'Survival': 11091, 'Open World': 8642, 'Multiplayer': 8407, 'Dinosaurs': 8137, 'Crafting': 7195, 'Building': 6842, 'Adventure': 6075, 'Base-Building': 5354, 'Co-op': 4897, 'Action': 4551, 'First-Person': 4138, 'Sandbox': 4043, 'Massively Multiplayer': 3897, 'Singleplayer': 3587, 'Early Access': 3413, 'RPG': 2958, 'Dragons': 2919, 'Sci-fi': 2358, 'Indie': 1973}",ARK: Survival Evolved,51025,52985.0,61872.0,72583.0,98816.0,60292.0
8930,Sid Meier's Civilization V,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",nan,173370,6904,0,"5,000,000 .. 10,000,000",5638,189,2276,289,2999.0,2999.0,0.0,17881,"English, French, German, Italian, Spanish - Spain, Polish, Japanese, Korean, Russian, Traditional Chinese",Strategy,"{'Turn-Based Strategy': 4882, 'Strategy': 4286, 'Turn-Based': 2525, 'Multiplayer': 2338, 'Historical': 2139, '4X': 1684, 'Addictive': 1632, 'Singleplayer': 1569, 'Hex Grid': 1289, 'Grand Strategy': 1011, 'Replay Value': 820, 'Co-op': 748, 'Tactical': 706, 'Economy': 702, 'Diplomacy': 658, 'Moddable': 611, 'Simulation': 587, 'Classic': 456, 'Great Soundtrack': 440, 'Touch-Friendly': 297}",Sid Meier's Civilization V,20315,20532.0,21192.0,20179.0,20123.0,22110.0
377160,Fallout 4,Bethesda Game Studios,Bethesda Softworks,nan,210969,52027,0,"5,000,000 .. 10,000,000",6537,486,2414,454,799.0,1999.0,60.0,17729,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Japanese",RPG,"{'Open World': 8945, 'Post-apocalyptic': 8140, 'Exploration': 6261, 'Singleplayer': 6227, 'RPG': 5735, 'Atmospheric': 4818, 'Adventure': 4786, 'Shooter': 4520, 'First-Person': 4102, 'Story Rich': 3973, 'Action': 3490, 'Sci-fi': 3459, 'FPS': 3390, 'Action RPG': 3065, 'Sandbox': 3006, 'Great Soundtrack': 2818, 'Third Person': 2747, 'Survival': 2548, 'Third-Person Shooter': 2176, 'Casual': 995}",Fallout 4,22310,20265.0,23408.0,17544.0,15705.0,16746.0
